"","ASV1","ASV17","ASV30","ASV75","ASV299","ASV302","ASV317","ASV329","ASV370","ASV505","ASV509","ASV526","ASV547","ASV614","ASV634","ASV643","ASV680","ASV709","ASV715","ASV736","ASV741","ASV780","ASV881","ASV892","ASV1111","ASV1135","ASV1424","ASV1498","ASV1644","ASV1691","ASV1744","ASV2132","ASV2177","ASV2180","ASV2243","ASV2395","ASV2459"
"G4_b",79584,227,85,40,7,15,8,9,1,1,6,3,2,1,3,1,2,0,0,0,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"G4_c",61129,25,59,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G5_a",101689,33,117,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G5_b",145536,138,150,47,2,0,0,1,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"G5_c",121745,80,113,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"H1_a",237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_b",14862,219,35,9,8,7,7,3,3,4,4,10,1,4,0,1,0,0,0,0,2,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"H1_c",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_b",39563,491,80,18,12,12,16,4,4,4,5,6,9,3,4,7,2,6,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"H2_c",15170,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_a",58653,10,56,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_b",57857,673,108,24,16,21,13,19,16,10,16,6,22,16,12,5,9,2,0,4,3,2,0,0,4,4,0,0,0,0,0,12,0,0,0,0,0
"H3_c",49154,11,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_a",83856,13,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"H4_b",71701,271,83,37,6,5,6,6,4,0,2,8,1,1,3,0,2,5,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_c",75913,8,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H5_a",310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_beads_a",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_beads_b",12739,404,42,5,19,11,11,15,12,6,4,15,2,3,2,3,2,0,0,2,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neg_beads_c",332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_PCR_a",253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neg_PCR_b",13523,434,22,3,21,13,20,17,15,5,12,17,6,4,6,3,7,0,0,6,5,6,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"neg_PCR_c",614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
