"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1139","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",NA
"ASV1146","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA,NA
"ASV1152","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV1163","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV1166","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV1178","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"ASV1179","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
"ASV1182","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"ASV1194","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae",NA,NA
"ASV1196","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium",NA
"ASV1200","Bacteria","Verrucomicrobia","Terrimicrobia","Terrimicrobiales","Terrimicrobiaceae","Terrimicrobium",NA
"ASV1217","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"ASV1232","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae",NA,NA
"ASV1234","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","rhamnosa"
"ASV1236","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"ASV1237","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"ASV1240","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV1266","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"ASV1273","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV1281","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"ASV1287","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV1300","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV1302","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter",NA
"ASV1303","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV1321","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV1323","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV1340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV1354","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV1362","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV1364","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA
"ASV1376","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter",NA
"ASV1399","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Zoogloea",NA
"ASV1405","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV1435","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus","otitis"
"ASV1447","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV1453","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella",NA
"ASV1456","Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"ASV1464","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhabdus",NA
"ASV1494","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","oralis"
"ASV1495","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV1503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Oryzihumus",NA
"ASV1508","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga",NA
"ASV1518","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora",NA
"ASV1540","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV1574","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV1581","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV1585","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chiayiivirga",NA
"ASV1599","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium",NA
"ASV1605","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia",NA
"ASV1611","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV1613","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV1616","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV1622","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1652","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptacidiphilus","specus"
"ASV1674","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Aquihabitans","daechungensis"
"ASV1675","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV1705","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV1706","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV1709","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"ASV1712","Bacteria","Acidobacteria","Acidobacteria_Gp4","Gp4",NA,NA,NA
"ASV1728","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV1739","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae",NA,NA
"ASV1753","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"ASV1756","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Parasegetibacter",NA
"ASV1769","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Chlorophyta",NA,NA
"ASV1817","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax",NA
"ASV1862","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV1866","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"ASV1902","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV1938","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Baekduiaceae","Baekduia",NA
"ASV2022","Bacteria","Cyanobacteria/Chloroplast","Cyanobacteria",NA,NA,NA,NA
"ASV2102","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","stercoricanis"
"ASV2113","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"ASV2222","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
